CCStrip-at Ep-120C,VSTEP1,-1.395,TSTEP1,600.0,QLIMIT,120000.0
T,Im,Q
29.7,0.434191,13.4136
29.75,0.434154,13.4353
29.8,0.434109,13.457
29.85,0.434077,13.4787
29.9,0.434032,13.5004
29.95,0.433971,13.5221
30.0,0.433938,13.5438
30.05,0.433901,13.5655
30.1,0.43386,13.5872
30.15,0.43381,13.6089
30.2,0.433766,13.6306
30.25,0.43372,13.6523
30.3,0.433685,13.674
30.35,0.433643,13.6956
30.4,0.433587,13.7173
30.45,0.433545,13.739
30.5,0.433502,13.7607
30.55,0.433454,13.7823
30.6,0.433392,13.804
30.65,0.433319,13.8257
30.7,0.43324,13.8473
30.75,0.4331,13.869
30.8,0.432939,13.8906
30.85,0.432783,13.9123
30.9,0.432607,13.9339
30.95,0.43251,13.9555
31.0,0.432419,13.9772
31.05,0.432326,13.9988
31.1,0.432099,14.0204
31.15,0.432038,14.042
31.2,0.431973,14.0636
31.25,0.431921,14.0852
31.3,0.431853,14.1068
31.35,0.431783,14.1284
31.4,0.431729,14.1499
31.45,0.431668,14.1715
31.5,0.43163,14.1931
31.55,0.431634,14.2147
31.6,0.431597,14.2363
31.65,0.431525,14.2578
31.7,0.431458,14.2794
31.75,0.431414,14.301
31.8,0.431346,14.3226
31.85,0.43127,14.3441
31.9,0.431203,14.3657
31.95,0.431059,14.3872
32.0,0.430649,14.4088
32.05,0.430568,14.4303
32.1,0.430499,14.4518
32.15,0.430445,14.4733
32.2,0.430407,14.4949
32.25,0.430357,14.5164
32.3,0.430324,14.5379
32.35,0.430279,14.5594
32.4,0.43022,14.5809
32.45,0.430172,14.6024
32.5,0.430133,14.6239
32.55,0.430091,14.6454
32.6,0.430037,14.6669
32.65,0.429997,14.6884
32.7,0.429944,14.7099
32.75,0.429879,14.7314
32.8,0.429831,14.7529
32.85,0.429786,14.7744
32.9,0.429732,14.7959
32.95,0.42968,14.8174
33.0,0.429633,14.8389
33.05,0.429575,14.8603
33.1,0.429523,14.8818
33.15,0.429468,14.9033
33.2,0.429455,14.9248
33.25,0.429414,14.9462
33.3,0.429361,14.9677
33.35,0.429329,14.9892
33.4,0.429269,15.0106
33.45,0.429209,15.0321
33.5,0.429175,15.0536
33.55,0.429121,15.075
33.6,0.429088,15.0965
33.65,0.429035,15.1179
33.7,0.429002,15.1394
33.75,0.428954,15.1608
33.8,0.428915,15.1823
33.85,0.428882,15.2037
33.9,0.428842,15.2251
