CC-at Ep-120C,VSTEP1,-1.612,TSTEP1,8000.0,QLIMIT,120000.0
T,Im,Q
27.75,-0.0103254,-0.386811
27.8,-0.0103245,-0.387328
27.85,-0.0103273,-0.387844
27.9,-0.0103232,-0.38836
27.95,-0.0103274,-0.388876
28.0,-0.0103238,-0.389393
28.05,-0.010316,-0.389908
28.1,-0.0103155,-0.390424
28.15,-0.0103069,-0.39094
28.2,-0.0103134,-0.391455
28.25,-0.0103188,-0.391971
28.3,-0.0103217,-0.392487
28.35,-0.0103197,-0.393003
28.4,-0.0103245,-0.39352
28.45,-0.0103238,-0.394036
28.5,-0.0103303,-0.394552
28.55,-0.0103174,-0.395068
28.6,-0.0103271,-0.395584
28.65,-0.0103235,-0.396101
28.7,-0.0103261,-0.396617
28.75,-0.0103263,-0.397133
28.8,-0.0103213,-0.397649
28.85,-0.0103234,-0.398165
28.9,-0.0103199,-0.398681
28.95,-0.0103198,-0.399197
29.0,-0.0103174,-0.399713
29.05,-0.0103175,-0.400229
29.1,-0.0103129,-0.400745
29.15,-0.0103252,-0.401261
29.2,-0.0103254,-0.401777
29.25,-0.0103245,-0.402294
29.3,-0.0103249,-0.40281
29.35,-0.0103103,-0.403325
29.4,-0.0103134,-0.403841
29.45,-0.010326,-0.404357
29.5,-0.0103156,-0.404873
29.55,-0.0103189,-0.405389
29.6,-0.0103193,-0.405905
29.65,-0.0103219,-0.406421
29.7,-0.0103207,-0.406937
29.75,-0.0103236,-0.407453
29.8,-0.0103253,-0.40797
29.85,-0.0103304,-0.408486
29.9,-0.0103246,-0.409002
29.95,-0.0103247,-0.409519
30.0,-0.0103283,-0.410035
30.05,-0.010329,-0.410551
30.1,-0.0103357,-0.411068
30.15,-0.0103426,-0.411585
30.2,-0.0103403,-0.412102
30.25,-0.0103344,-0.412619
30.3,-0.010327,-0.413135
30.35,-0.0103245,-0.413652
30.4,-0.0103259,-0.414168
30.45,-0.0103323,-0.414685
30.5,-0.0103417,-0.415202
30.55,-0.0103434,-0.415719
30.6,-0.0103417,-0.416236
30.65,-0.01034,-0.416753
30.7,-0.0103348,-0.41727
30.75,-0.0103355,-0.417786
30.8,-0.0103341,-0.418303
30.85,-0.0103425,-0.41882
30.9,-0.0103377,-0.419337
30.95,-0.010345,-0.419854
31.0,-0.0103442,-0.420372
31.05,-0.0103446,-0.420889
31.1,-0.0103479,-0.421406
31.15,-0.0103453,-0.421924
31.2,-0.0103402,-0.422441
31.25,-0.010343,-0.422958
31.3,-0.0103475,-0.423475
31.35,-0.0103386,-0.423992
31.4,-0.0103402,-0.424509
31.45,-0.0103398,-0.425026
31.5,-0.0103463,-0.425543
31.55,-0.0103469,-0.426061
31.6,-0.0103503,-0.426578
31.65,-0.0103471,-0.427096
31.7,-0.0103499,-0.427613
31.75,-0.0103331,-0.42813
31.8,-0.0103382,-0.428647
31.85,-0.0103423,-0.429164
31.9,-0.0103421,-0.429681
31.95,-0.0103531,-0.430198
32.0,-0.0103463,-0.430716
32.05,-0.0103562,-0.431234
32.1,-0.0103501,-0.431751
32.15,-0.0103506,-0.432269
32.2,-0.0103491,-0.432786
32.25,-0.0103554,-0.433304
32.3,-0.0103488,-0.433821
32.35,-0.0103534,-0.434339
32.4,-0.0103525,-0.434857
32.45,-0.0103465,-0.435374
32.5,-0.0103492,-0.435891
32.55,-0.0103546,-0.436409
32.6,-0.0103579,-0.436927
32.65,-0.0103578,-0.437445
32.7,-0.0103505,-0.437962
32.75,-0.0103582,-0.43848
32.8,-0.0103547,-0.438998
32.85,-0.0103541,-0.439516
32.9,-0.0103533,-0.440033
32.95,-0.0103485,-0.440551
33.0,-0.0103512,-0.441068
33.05,-0.0103586,-0.441586
33.1,-0.0103577,-0.442104
33.15,-0.0103655,-0.442622
33.2,-0.0103469,-0.44314
33.25,-0.0103523,-0.443657
33.3,-0.0103568,-0.444175
33.35,-0.0103532,-0.444693
33.4,-0.010351,-0.44521
33.45,-0.0103485,-0.445728
33.5,-0.0103541,-0.446246
33.55,-0.0103427,-0.446763
33.6,-0.0103428,-0.44728
33.65,-0.0103543,-0.447798
33.7,-0.0103467,-0.448315
33.75,-0.0103401,-0.448832
33.8,-0.0103425,-0.449349
33.85,-0.0103465,-0.449866
33.9,-0.0103447,-0.450384
33.95,-0.0103493,-0.450901
34.0,-0.0103511,-0.451419
34.05,-0.0103517,-0.451936
34.1,-0.0103527,-0.452454
34.15,-0.0103576,-0.452972
34.2,-0.0103575,-0.45349
34.25,-0.0103541,-0.454007
34.3,-0.010358,-0.454525
34.35,-0.0103554,-0.455043
34.4,-0.0103544,-0.455561
34.45,-0.0103661,-0.456079
34.5,-0.0103566,-0.456597
34.55,-0.0103555,-0.457115
34.6,-0.0103573,-0.457633
34.65,-0.010361,-0.458151
34.7,-0.0103556,-0.458668
34.75,-0.0103569,-0.459186
34.8,-0.0103589,-0.459704
34.85,-0.0103605,-0.460222
34.9,-0.0103602,-0.46074
34.95,-0.0103588,-0.461258
