100 mVs,SCAN RATE,99.9998
T,Vf,Im
9.02,-1.47097,-0.00574972
9.04,-1.47283,-0.00564717
9.06,-1.47478,-0.00596982
9.08,-1.47682,-0.00603151
9.1,-1.47879,-0.00609446
9.12,-1.48085,-0.0061424
9.14,-1.48275,-0.00623285
9.16,-1.48486,-0.00626495
9.18,-1.48679,-0.00629663
9.2,-1.48886,-0.00632748
9.22,-1.49067,-0.00653758
9.24,-1.49291,-0.00658468
9.26,-1.49498,-0.00647088
9.28,-1.49693,-0.00653258
9.3,-1.4988,-0.00666305
9.32,-1.50081,-0.00682104
9.34,-1.50278,-0.00686481
9.36,-1.50483,-0.00674475
9.38,-1.50672,-0.0069857
9.4,-1.50882,-0.00704114
9.42,-1.51076,-0.00693109
9.44,-1.51286,-0.00681312
9.46,-1.51468,-0.00711117
9.48,-1.51684,-0.00713118
9.5,-1.519,-0.00697736
9.52,-1.5209,-0.0070303
9.54,-1.52265,-0.00743632
9.56,-1.52482,-0.00743632
9.58,-1.52677,-0.0072083
9.6,-1.52883,-0.0072479
9.62,-1.53071,-0.00761724
9.64,-1.5328,-0.00758264
9.66,-1.53468,-0.00740506
9.68,-1.53688,-0.00745425
9.7,-1.53869,-0.0077623
9.72,-1.54084,-0.00769102
9.74,-1.54279,-0.00763891
9.76,-1.54488,-0.00765225
9.78,-1.54674,-0.00802076
9.8,-1.5488,-0.00807953
9.82,-1.55079,-0.00790529
9.84,-1.55281,-0.00818375
9.86,-1.55474,-0.00854391
9.88,-1.55681,-0.00861645
9.9,-1.55866,-0.00904206
9.92,-1.56086,-0.0097107
9.94,-1.56267,-0.0104031
9.96,-1.56477,-0.0112035
9.98,-1.56669,-0.0122769
10.0,-1.56887,-0.0140039
10.02,-1.57068,-0.0154521
10.04,-1.57288,-0.0168444
10.06,-1.57479,-0.0183934
10.08,-1.57678,-0.0198028
10.1,-1.57875,-0.0209917
10.12,-1.58078,-0.0220234
10.14,-1.58275,-0.0229672
10.16,-1.58483,-0.0238784
10.18,-1.58668,-0.0247513
10.2,-1.58879,-0.0257205
10.22,-1.59067,-0.0268227
10.24,-1.59285,-0.0280007
10.26,-1.59466,-0.0291554
10.28,-1.59682,-0.0302789
10.3,-1.59898,-0.0312051
10.32,-1.60075,-0.0319571
10.34,-1.60277,-0.0325582
10.36,-1.60475,-0.0330697
10.38,-1.60673,-0.0333461
10.4,-1.60882,-0.0334311
10.42,-1.61069,-0.033502
10.44,-1.61274,-0.0334941
10.46,-1.61468,-0.033344
10.48,-1.61685,-0.0330535
10.5,-1.61865,-0.0328496
10.52,-1.62079,-0.0325928
10.54,-1.62299,-0.0322185
10.56,-1.6248,-0.0318996
10.58,-1.62678,-0.0315486
10.6,-1.62877,-0.0311839
10.62,-1.63076,-0.0308654
10.64,-1.63278,-0.0305248
10.66,-1.63473,-0.0301997
10.68,-1.63675,-0.0298478
10.7,-1.63869,-0.0294581
10.72,-1.64076,-0.0291934
10.74,-1.64264,-0.0288886
10.76,-1.64473,-0.0285685
10.78,-1.64662,-0.0282738
10.8,-1.64882,-0.0279495
10.82,-1.65063,-0.0276785
10.84,-1.65273,-0.0274188
10.86,-1.65468,-0.0272354
10.88,-1.65664,-0.026914
10.9,-1.65864,-0.0266914
10.92,-1.6607,-0.0264892
10.94,-1.66267,-0.0262408
10.96,-1.6648,-0.0260203
10.98,-1.66663,-0.0258202
11.0,-1.66869,-0.025668
11.02,-1.67066,-0.0254467
11.04,-1.67265,-0.025242
11.06,-1.6746,-0.0250786
11.08,-1.67667,-0.0249652
11.1,-1.6787,-0.0247263
11.12,-1.6807,-0.0245608
11.14,-1.68266,-0.0244904
11.16,-1.68473,-0.0243524
11.18,-1.68665,-0.0241748
11.2,-1.68875,-0.0240227
11.22,-1.69067,-0.0238568
11.24,-1.69273,-0.0237738
11.26,-1.69463,-0.0235766
11.28,-1.69684,-0.0233715
11.3,-1.69865,-0.0233307
11.32,-1.70084,-0.023194
11.34,-1.70272,-0.0230885
11.36,-1.70468,-0.0229847
11.38,-1.70669,-0.0229655
11.4,-1.70873,-0.022848
11.42,-1.71065,-0.0227046
11.44,-1.7128,-0.0226633
11.46,-1.71465,-0.0225224
11.48,-1.7167,-0.0225041
11.5,-1.71865,-0.0224815
11.52,-1.72077,-0.0223744
11.54,-1.72265,-0.022246
11.56,-1.72474,-0.0221814
11.58,-1.72668,-0.0221451
11.6,-1.72861,-0.022068
11.62,-1.73065,-0.0219296
11.64,-1.73268,-0.0219175
11.66,-1.73465,-0.0218646
11.68,-1.7367,-0.0218121
11.7,-1.73864,-0.0216991
11.72,-1.74071,-0.0217079
11.74,-1.74264,-0.0217008
11.76,-1.74484,-0.0215715
11.78,-1.74664,-0.0214844
11.8,-1.74877,-0.0215015
11.82,-1.75083,-0.0214853
11.84,-1.75283,-0.0213673
11.86,-1.75466,-0.0212026
11.88,-1.75671,-0.0213369
11.9,-1.75867,-0.0213235
11.92,-1.76074,-0.021203
11.94,-1.76264,-0.0210217
11.96,-1.76471,-0.0212643
11.98,-1.76664,-0.0211122
12.0,-1.76878,-0.0209137
12.02,-1.77064,-0.0210113
12.04,-1.77271,-0.0210055
12.06,-1.7747,-0.0209125
12.08,-1.77672,-0.0208495
12.1,-1.7786,-0.0207912
12.12,-1.78069,-0.0209842
12.14,-1.78267,-0.0206224
12.16,-1.78461,-0.0205056
12.18,-1.78665,-0.0205261
12.2,-1.78867,-0.0205894
12.22,-1.79065,-0.020649
12.24,-1.79279,-0.0203973
12.26,-1.79464,-0.0204023
12.28,-1.7967,-0.0206082
12.3,-1.79866,-0.0205765
12.32,-1.80073,-0.020549
12.34,-1.80266,-0.0202018
12.36,-1.80458,-0.0203118
12.38,-1.80665,-0.0203943
12.4,-1.80863,-0.0203664
12.42,-1.81063,-0.020223
12.44,-1.81267,-0.0204227
12.46,-1.81464,-0.0204427
12.48,-1.81677,-0.0203372
12.5,-1.81865,-0.0202509
12.52,-1.82066,-0.0203777
12.54,-1.82264,-0.0204439
12.56,-1.82481,-0.0201342
12.58,-1.82665,-0.0201442
12.6,-1.82873,-0.020366
12.62,-1.83066,-0.0204656
12.64,-1.83263,-0.0202614
12.66,-1.83463,-0.0200709
12.68,-1.83666,-0.0203839
12.7,-1.83864,-0.0202659
12.72,-1.84076,-0.0200892
12.74,-1.84263,-0.0200012
12.76,-1.8447,-0.0203635
12.78,-1.84665,-0.0202126
12.8,-1.8488,-0.0202143
12.82,-1.85064,-0.0202147
12.84,-1.85276,-0.0201872
12.86,-1.85471,-0.0202109
12.88,-1.85667,-0.0201088
12.9,-1.85862,-0.0202639
12.92,-1.86066,-0.0199325
12.94,-1.86264,-0.0199821
12.96,-1.86473,-0.020173
12.98,-1.86663,-0.0199479
13.0,-1.86868,-0.0200087
13.02,-1.87063,-0.020311
13.04,-1.87281,-0.0200559
13.06,-1.87464,-0.020223
13.08,-1.87673,-0.02008
13.1,-1.87862,-0.0202514
13.12,-1.88082,-0.0200838
13.14,-1.88265,-0.0199741
13.16,-1.88464,-0.0202205
13.18,-1.88663,-0.0201421
13.2,-1.88868,-0.0201942
13.22,-1.89063,-0.0199504
13.24,-1.89265,-0.0202018
13.26,-1.89464,-0.0203635
13.28,-1.89678,-0.0199133
13.3,-1.89862,-0.0198824
13.32,-1.90075,-0.0198949
13.34,-1.90265,-0.0201463
13.36,-1.90481,-0.0199591
13.38,-1.90662,-0.0199129
13.4,-1.90865,-0.0200579
13.42,-1.91065,-0.0199446
13.44,-1.91272,-0.0199458
13.46,-1.91464,-0.0199279
13.48,-1.91666,-0.0200275
13.5,-1.91864,-0.0200896
13.52,-1.92081,-0.019937
13.54,-1.92263,-0.0198533
13.56,-1.92467,-0.0198849
13.58,-1.92667,-0.0197836
13.6,-1.92883,-0.0199145
13.62,-1.93064,-0.0196465
13.64,-1.93263,-0.0192826
13.66,-1.93463,-0.0193026
13.68,-1.93663,-0.0193138
13.7,-1.93865,-0.0191959
13.72,-1.94064,-0.0192109
13.74,-1.94263,-0.0193251
13.76,-1.94476,-0.0192963
13.78,-1.94663,-0.01912
13.8,-1.94865,-0.0190466
13.82,-1.9506,-0.0192747
13.84,-1.95273,-0.0189182
13.86,-1.95462,-0.0189662
13.88,-1.95668,-0.0190291
13.9,-1.95865,-0.0190516
13.92,-1.9606,-0.0190821
13.94,-1.96264,-0.0190129
13.96,-1.96464,-0.0190137
13.98,-1.96662,-0.0189266
14.0,-1.96868,-0.0189153
14.02,-1.97064,-0.0189641
14.04,-1.97264,-0.0190471
14.06,-1.97463,-0.0189403
14.08,-1.97663,-0.0189245
14.1,-1.97861,-0.0189378
14.12,-1.98065,-0.0189495
14.14,-1.98263,-0.0189462
14.16,-1.98459,-0.0190546
14.18,-1.98662,-0.0189112
14.2,-1.98862,-0.0185452
14.22,-1.99062,-0.0187924
14.24,-1.99262,-0.0186548
14.26,-1.99461,-0.0184776
14.28,-1.99663,-0.0183943
14.3,-1.9946,-0.0183513
14.32,-1.99273,-0.0182242
14.34,-1.99062,-0.0178632
14.36,-1.9886,-0.0176281
14.38,-1.98661,-0.0178736
14.4,-1.9846,-0.0176126
14.42,-1.98264,-0.0172308
14.44,-1.98052,-0.0172441
14.46,-1.97862,-0.0172721
14.48,-1.97672,-0.0171779
14.5,-1.97462,-0.0168185
14.52,-1.97263,-0.0168448
14.54,-1.97065,-0.0169665
14.56,-1.9688,-0.0167051
14.58,-1.96664,-0.0165772
14.6,-1.96464,-0.0165605
14.62,-1.96263,-0.0165655
14.64,-1.96061,-0.0163517
14.66,-1.95862,-0.0161612
14.68,-1.95674,-0.016147
14.7,-1.95463,-0.0161282
